Date ,Time,Direction,Type,Occupancy,Driver Gender,Fuel Type
24/10/2023,10:15:00 am,IN,car,3,male,ICE
24/10/2023,10:15:00 am,IN,truck,2,male,ICE
24/10/2023,10:15:00 am,IN,bus,80%,male,ICE
24/10/2023,10:15:00 am,IN,bus ,100%,male,ICE
24/10/2023,10:15:00 am,IN,truck,2,male,ICE
24/10/2023,10:15:00 am,IN,bicycle,1,male,ZEV
24/10/2023,10:15:00 am,IN,car,3,female,ICE
24/10/2023,10:15:00 am,IN,car,1,male,ICE
24/10/2023,10:15:00 am,IN,car,4,male,ICE
24/10/2023,10:15:00 am,IN,car,3,male,ICE
24/10/2023,10:15:00 am,IN,motorbike,1,male,ICE
24/10/2023,10:15:00 am,IN,motorbike,1,male,ICE
24/10/2023,10:15:00 am,IN,car,2,male,ICE
24/10/2023,10:20:00 am,IN,car,3,female,ICE
24/10/2023,10:20:00 am,IN,car,1,female,ICE
24/10/2023,10:20:00 am,IN,car,1,male,ICE
24/10/2023,10:20:00 am,IN,car,1,female,ICE
24/10/2023,10:20:00 am,IN,car,1,female,ICE
24/10/2023,10:20:00 am,IN,car,4,male,ICE
24/10/2023,10:20:00 am,IN,car,3,female,ICE
24/10/2023,10:20:00 am,IN,bus ,100%,female,ICE
24/10/2023,10:20:00 am,IN,car,1,male,ICE
24/10/2023,10:20:00 am,IN,car,1,female,ICE
24/10/2023,10:20:00 am,IN,car,3,female,ICE
24/10/2023,10:20:00 am,IN,car,2,female,ICE
24/10/2023,10:20:00 am,IN,car,2,male,ICE
24/10/2023,10:20:00 am,IN,car,1,female,ICE
24/10/2023,10:20:00 am,IN,car,1,female,ICE
24/10/2023,10:20:00 am,IN,car,1,female,ICE
24/10/2023,10:20:00 am,IN,car,1,male,ICE
24/10/2023,10:20:00 am,IN,car,1,male,ICE
24/10/2023,10:20:00 am,IN,car,2,male,ICE
24/10/2023,10:20:00 am,IN,car,1,male,ICE
24/10/2023,10:20:00 am,IN,car,1,female,ICE
24/10/2023,10:20:00 am,IN,car,1,female,ICE
24/10/2023,10:20:00 am,IN,car,3,female,ICE
24/10/2023,10:20:00 am,IN,bus,80%,female,ICE
24/10/2023,10:20:00 am,IN,car,3,male,ICE
24/10/2023,10:20:00 am,IN,car,1,female,ICE
24/10/2023,10:20:00 am,IN,bus ,50%,male,ICE
24/10/2023,10:20:00 am,IN,car,2,male,ICE
24/10/2023,10:20:00 am,IN,car,2,female,ICE
24/10/2023,10:20:00 am,IN,bus ,10%,male,ICE
24/10/2023,10:20:00 am,IN,car,2,male,ICE
24/10/2023,10:20:00 am,IN,motorbike,1,male,ICE
24/10/2023,10:20:00 am,IN,bus,10%,male,ICE
24/10/2023,10:25:00 am,IN,car,2,male,ICE
24/10/2023,10:25:00 am,IN,car,2,male,ZEV
24/10/2023,10:25:00 am,IN,car,1,male,ICE
24/10/2023,10:25:00 am,IN,car,3,male,ICE
24/10/2023,10:25:00 am,IN,bicycle,1,male,ZEV
24/10/2023,10:25:00 am,IN,car,2,female,ICE
24/10/2023,10:25:00 am,IN,car,1,male,ICE
24/10/2023,10:25:00 am,IN,van,1,male,ICE
24/10/2023,10:25:00 am,IN,car,2,male,ICE
24/10/2023,10:25:00 am,IN,car,1,female,ICE
24/10/2023,10:25:00 am,IN,motorbike,1,female,ICE
24/10/2023,10:25:00 am,IN,car,1,female,ICE
24/10/2023,10:25:00 am,IN,car,1,female,ICE
24/10/2023,10:25:00 am,IN,bicycle,1,female,ZEV
24/10/2023,10:25:00 am,IN,bicycle,2,male,ZEV
24/10/2023,10:25:00 am,IN,car,1,female,ICE
24/10/2023,10:25:00 am,IN,car,1,female,ICE
24/10/2023,10:25:00 am,IN,car,4,female,ICE
24/10/2023,10:30:00 am,IN,car,1,male,ICE
24/10/2023,10:30:00 am,IN,car,1,female,ZEV
24/10/2023,10:30:00 am,IN,car,1,female,ICE
24/10/2023,10:30:00 am,IN,car,1,female,ICE
24/10/2023,10:30:00 am,IN,car,1,female,ZEV
24/10/2023,10:30:00 am,IN,bicycle,1,female,ICE
24/10/2023,10:30:00 am,IN,car,1,male,ICE
24/10/2023,10:30:00 am,IN,car,1,female,ICE
24/10/2023,10:30:00 am,IN,truck,2,male,ICE
24/10/2023,10:30:00 am,IN,car,3,male,ICE
24/10/2023,10:30:00 am,IN,car,1,female,ICE
24/10/2023,10:30:00 am,IN,car,1,female,ICE
24/10/2023,10:30:00 am,IN,car,1,female,ZEV
24/10/2023,10:30:00 am,IN,van,1,female,ICE
24/10/2023,10:30:00 am,IN,truck,2,female,ICE
24/10/2023,10:30:00 am,IN,car,1,female,ICE
24/10/2023,10:30:00 am,IN,car,2,female,ICE
24/10/2023,10:30:00 am,IN,car,1,female,ICE
24/10/2023,10:30:00 am,IN,car,1,female,ICE
24/10/2023,10:30:00 am,IN,car,1,male,ICE
24/10/2023,10:30:00 am,IN,car,2,male,ICE
24/10/2023,10:30:00 am,IN,car,3,female,ICE
24/10/2023,10:30:00 am,IN,car,4,male,ICE
24/10/2023,10:30:00 am,IN,car,2,male,ICE
24/10/2023,10:30:00 am,IN,bus,20%,female,ICE
24/10/2023,10:30:00 am,IN,car,2,female,ICE
24/10/2023,10:30:00 am,IN,car,1,female,ICE
24/10/2023,10:30:00 am,IN,car,1,female,ICE
24/10/2023,10:30:00 am,IN,car,1,male,ICE
24/10/2023,10:30:00 am,IN,van,1,male,ICE
24/10/2023,10:30:00 am,IN,car,1,female,ICE
24/10/2023,10:30:00 am,IN,car,1,female,ICE
24/10/2023,10:30:00 am,IN,car,2,male,ICE
24/10/2023,10:30:00 am,IN,car,3,female,ICE
24/10/2023,10:30:00 am,IN,car,1,male,ICE
24/10/2023,10:30:00 am,IN,car,2,female,ICE
24/10/2023,10:30:00 am,IN,car,2,female,ICE
24/10/2023,10:30:00 am,IN,car,1,female,ICE
24/10/2023,10:30:00 am,IN,car,4,male,ICE
24/10/2023,10:35:00 am,IN,car,1,male,ICE
24/10/2023,10:35:00 am,IN,car,1,female,ZEV
24/10/2023,10:35:00 am,IN,bus ,20%,male,ICE
24/10/2023,10:35:00 am,IN,car,3,male,ICE
24/10/2023,10:35:00 am,IN,car,1,male,ICE
24/10/2023,10:35:00 am,IN,car,1,male,ICE
24/10/2023,10:35:00 am,IN,van,70,male,ICE
24/10/2023,10:35:00 am,IN,car,1,female,ICE
24/10/2023,10:35:00 am,IN,car,1,male,ICE
24/10/2023,10:35:00 am,IN,car,1,male,ICE
24/10/2023,10:35:00 am,IN,car,1,male,ICE
24/10/2023,10:35:00 am,IN,car,1,male,ICE
24/10/2023,10:35:00 am,IN,van,1,female,ICE
24/10/2023,10:35:00 am,IN,car,1,female,ICE
24/10/2023,10:35:00 am,IN,car,1,female,ICE
24/10/2023,10:35:00 am,IN,car,1,male,ICE
24/10/2023,10:35:00 am,IN,car,2,female,ICE
24/10/2023,10:35:00 am,IN,car,1,male,ICE
24/10/2023,10:35:00 am,IN,car,1,male,ICE
24/10/2023,10:35:00 am,IN,car,1,female,ICE
24/10/2023,10:35:00 am,IN,car,3,male,ICE
24/10/2023,10:35:00 am,IN,car,3,male,ICE
24/10/2023,10:35:00 am,IN,car,2,female,ICE
24/10/2023,10:40:00 am,IN,car,1,male,ICE
24/10/2023,10:40:00 am,IN,bus ,80%,male,ICE
24/10/2023,10:40:00 am,IN,car,1,male,ICE
24/10/2023,10:40:00 am,IN,car,2,male,ICE
24/10/2023,10:40:00 am,IN,car,1,female,ICE
24/10/2023,10:40:00 am,IN,car,3,female,ICE
24/10/2023,10:40:00 am,IN,car,3,female,ICE
24/10/2023,10:40:00 am,IN,car,3,female,ICE
24/10/2023,10:40:00 am,IN,car,2,female,ICE
24/10/2023,10:40:00 am,IN,car,1,male,ICE
24/10/2023,10:40:00 am,IN,car,1,male,ICE
24/10/2023,10:40:00 am,IN,car,1,female,ICE
24/10/2023,10:40:00 am,IN,car,2,female,ICE
24/10/2023,10:40:00 am,IN,car,1,male,ICE
24/10/2023,10:40:00 am,IN,car,3,male,ICE
24/10/2023,10:40:00 am,IN,motorbike,1,male,ICE
24/10/2023,10:40:00 am,IN,car,2,male,ICE
24/10/2023,10:40:00 am,IN,car,3,male,ICE
24/10/2023,10:40:00 am,IN,truck,1,male,ICE
24/10/2023,10:40:00 am,IN,car,1,male,ICE
24/10/2023,10:40:00 am,IN,car,2,male,ICE
24/10/2023,10:45:00 am,IN,van,1,male,ICE
24/10/2023,10:45:00 am,IN,van,1,male,ICE
24/10/2023,10:45:00 am,IN,car,1,male,ZEV
24/10/2023,10:45:00 am,IN,van,2,male,ICE
24/10/2023,10:45:00 am,IN,car,1,female,ICE
24/10/2023,10:45:00 am,IN,bus ,70%,male,ICE
24/10/2023,10:45:00 am,IN,car,1,male,ICE
24/10/2023,10:45:00 am,IN,bus ,60%,male,ICE
24/10/2023,10:45:00 am,IN,car,2,male,ICE